Price,Close,High,Low,Open,Volume
Ticker,IOC.NS,IOC.NS,IOC.NS,IOC.NS,IOC.NS
Date,,,,,
2015-03-12,31.212413787841797,31.392938096815154,30.625714948480883,30.64376696619402,4008762
2015-03-13,30.603151321411133,31.451610682691676,30.494839206538916,31.37037453061635,3182934
2015-03-16,30.819774627685547,31.234977197687616,30.666330424197913,30.77915655831039,3185022
2015-03-17,31.32524299621582,31.726905567942346,30.81075221130324,31.113128682441847,7264404
2015-03-18,31.564437866210938,31.94353647840863,31.347809497549047,31.587003923840246,11856552
2015-03-19,31.627622604370117,32.128573392292914,31.338784085338794,31.68177866460778,6286308
2015-03-20,31.058969497680664,31.808140626524604,30.869421246221386,31.59602632001694,4130466
2015-03-23,30.86490821838379,31.189850744840736,30.779160098684624,31.090562578485468,1617660
2015-03-24,31.343290328979492,31.663718770505795,30.801721597593236,30.959677766967054,3244128
2015-03-25,31.758501052856445,31.889379232503902,31.2846282910245,31.41099449857444,3513276
2015-03-26,31.5508975982666,32.13308452730148,31.338783268979334,31.68628981125512,7019994
2015-03-27,31.275606155395508,31.862305149323742,30.725011206405252,31.546390624273393,3753294
2015-03-30,31.99768829345703,32.133080489432054,31.320727313581912,31.496737581533633,2952924
2015-03-31,33.2748908996582,33.88415583195537,32.08343906331507,32.08343906331507,13902816
2015-04-01,33.45090103149414,33.820973613690335,33.26135070274728,33.37417891883409,5079258
2015-04-06,33.757789611816406,33.893181818903805,33.265864868188366,33.356127028220335,3780102
2015-04-07,33.59531021118164,33.83901653063637,33.410273969853435,33.77583241607524,6784962
2015-04-08,34.042118072509766,34.84093342772696,33.419313020368996,33.5772713025024,16499136
2015-04-09,33.848052978515625,34.570144086750226,33.62691264117882,34.27679360562936,5714130
2015-04-10,33.852561950683594,34.281304605726845,33.57726557934416,33.93831006850804,4706664
2015-04-13,34.0240592956543,34.47987789876016,33.57726463530675,33.57726463530675,4241178
2015-04-15,33.66300964355469,34.367048585158805,33.48699939167347,33.85255787424476,4252992
2015-04-16,32.846153259277344,33.72168864747316,32.349714432739134,33.39674608129638,3800088
2015-04-17,32.439971923828125,33.229759067972346,32.349709768583836,32.85517246655721,3117276
2015-04-20,32.44448471069336,32.855173292237765,32.060874156626426,32.254936452429945,5612826
2015-04-21,32.065391540527344,32.688196607237245,31.90292128231824,32.259453869086435,2566998
2015-04-22,32.80553436279297,33.062778746924906,32.05636313653721,32.21883338261639,5996208
2015-04-23,33.2613410949707,33.541153502576975,32.81906056551912,33.07630692324217,7098750
2015-04-24,32.11502456665039,33.486998376898306,31.96609440874153,33.17559595084055,6135828
2015-04-27,31.55541229248047,32.30909548939838,31.171801703007656,32.25042539148828,3226470
2015-04-28,31.722400665283203,32.28202162062231,31.280117854968108,31.7224006652832,6696174
2015-04-29,31.577978134155273,32.16016300539117,31.415505823565372,31.77203838061974,4432842
2015-04-30,32.602439880371094,32.91835430284696,31.37037012064975,31.59151042297494,6674658
2015-05-04,32.92287063598633,33.324535289446416,32.327145745322404,33.25683918523819,4222446
2015-05-05,32.87323760986328,33.121456037891754,32.3316686280399,32.981551819412296,3672384
2015-05-06,30.354936599731445,32.74686660993679,30.242110433581118,32.74686660993679,10602486
2015-05-07,29.863012313842773,30.688903665892965,29.470373612708116,30.59864355775283,7405134
2015-05-08,30.26917839050293,30.752077030547465,30.016446044436883,30.097682179215514,4109454
2015-05-11,30.5941219329834,30.65279202168683,30.228563420859505,30.413599695545646,3700230
2015-05-12,29.99839973449707,30.864909029306183,29.434264852381727,30.864909029306183,7172562
2015-05-13,30.237594604492188,30.363960812102018,29.190562969052362,29.835931989321804,9560850
2015-05-14,30.142818450927734,30.327854744916866,29.524527502338312,30.327854744916866,6036018
2015-05-15,30.386526107788086,30.661822508439833,30.029993552168246,30.10671566922867,3221058
2015-05-18,30.995784759521484,31.21241101878176,30.539964121980177,30.571556183135925,5454390
2015-05-19,31.11763572692871,31.397446097941092,30.828799348201137,31.049939636104412,2608722
2015-05-20,31.013839721679688,31.352320220727357,30.878447522060622,31.316216185074545,2337354
