Price,Close,High,Low,Open,Volume
Ticker,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS
Date,,,,,
2015-06-15,121.30194091796875,124.16999272603692,120.66928129517493,122.8624935979644,2578943
2015-06-16,125.30877685546875,125.8992565564771,120.50056661655499,121.3019328444586,3180232
2015-06-17,125.01354217529297,126.53192788420205,123.24210290781012,125.68838169830737,2227685
2015-06-18,125.8047866821289,127.25536055578671,123.25527572759071,125.7168674229879,2787865
2015-06-19,125.98059844970703,127.21138745981847,124.48606510468768,126.42016786968884,2067886
2015-06-22,132.57412719726562,133.18952164405556,126.33223665867077,126.59598096860726,3291044
2015-06-23,139.91493225097656,140.79407103587644,133.18952591232988,133.62909530477984,6174361
2015-06-24,133.27745056152344,140.48638620713123,131.9587423306954,140.48638620713123,3072778
2015-06-25,135.78298950195312,136.9698322873412,130.77190085788084,132.74996322379837,3324723
2015-06-26,134.72802734375,135.91487014458968,131.51917594087843,134.68406771879407,2839574
2015-06-29,130.2883758544922,130.99168962263326,126.42017025160787,129.27737153532303,3709514
2015-06-30,129.8048553466797,132.0906218899817,128.17845640377982,129.9367342325982,3214556
2015-07-01,137.40940856933594,138.64019762602518,129.71694342854164,130.06859361199724,5392667
2015-07-02,135.34341430664062,138.7720636432127,134.64010059032378,138.0247903043898,2766091
2015-07-03,142.20069885253906,142.9040125653312,134.59615370786966,135.38737325063997,6478793
2015-07-06,145.1018524169922,146.2886816729382,137.5852134709635,138.9039215872986,5512437
2015-07-07,145.49746704101562,148.0469641187974,143.34357972846303,145.05789765418476,4614043
2015-07-08,141.8050994873047,144.6183411303253,139.87099669614017,142.4204940006851,3201430
2015-07-09,145.54144287109375,147.2557609877335,141.71718341393267,142.288631729209,3306808
2015-07-10,149.80526733398438,150.59650041460688,145.9370614329257,146.37663089507308,4527007
2015-07-13,150.5964813232422,151.6074855921763,146.64035666544035,151.03605072966462,3412912
2015-07-14,152.44265747070312,153.40971548429232,148.61841186698518,150.77229917224145,3449912
2015-07-15,150.8602294921875,153.23390166440356,149.67338669878245,152.53058791329664,2283906
2015-07-16,153.6295166015625,154.24491112391453,149.89317642670332,150.9041807552392,2989956
2015-07-17,153.27784729003906,155.29985569473226,152.61849322383227,153.84928211491447,1841138
2015-07-20,148.3546905517578,152.97016981336805,147.34368617457648,152.97016981336805,3014973
2015-07-21,142.55235290527344,150.86022540482995,141.805092964326,147.69532031789473,2261777
2015-07-22,145.40956115722656,146.37661926293958,140.04682219394755,141.5413555635632,2153812
2015-07-23,143.29962158203125,146.72825746877018,142.24465772569567,146.64035163925493,2909723
2015-07-24,140.22265625,144.09086209105848,139.8270464231228,142.86007298197492,2011205
2015-07-27,135.4752960205078,139.34350141963174,134.99176699196892,139.34350141963174,1955200
2015-07-28,138.33250427246094,141.45343647766828,132.57414208627938,136.2665225962923,12568881
2015-07-29,134.64010620117188,139.34350429886385,133.62910191436785,139.34350429886385,2978516
2015-07-30,144.2666778564453,145.4974667714542,135.29945165003468,135.38737089307523,4883473
2015-07-31,155.16799926757812,158.42081016703924,142.64027128138557,145.05790299801922,8845926
2015-08-03,163.82752990722656,166.86055625391754,154.2009487772243,155.1680068771405,8644866
2015-08-04,178.3772735595703,182.7290217514766,160.8824151964007,165.10228450742196,19118879
2015-08-05,179.60806274414062,187.78405641369355,178.55309884813883,179.95971290460997,13486038
2015-08-06,187.87197875976562,189.01486200363684,175.03655897013607,177.93770658549272,10405494
2015-08-07,181.58612060546875,189.85001990422577,180.31137203693405,185.41036631107286,6812510
2015-08-10,181.23446655273438,185.84994546407322,179.78389283215125,180.3113815021419,4183703
2015-08-11,179.25640869140625,185.05873054953344,177.7179156820871,182.7729641412786,5263759
2015-08-12,172.9265899658203,182.24546610988128,172.09141083370938,178.37724754941007,8324140
2015-08-13,173.0584716796875,180.2234472661382,171.16831528155512,175.82775343037875,6526920
2015-08-14,182.68504333496094,183.65208795568157,169.0583920832446,175.16840399383744,7408260
2015-08-17,193.10284423828125,194.90508157491487,183.38837061700653,184.00376513291707,11428191
2015-08-18,191.9599609375,195.78420664068688,189.3664907648525,194.06988867618287,6606767
2015-08-19,186.46536254882812,191.30062640788728,185.23456006321985,191.30062640788728,3277053
2015-08-20,176.88275146484375,188.3555172771282,174.72886375182838,183.5642127527645,5742391
2015-08-21,175.73985290527344,177.5860498787617,167.91552241011627,169.32214995321155,6151805
2015-08-24,152.44265747070312,168.75068434980295,150.55251447957056,165.19016964561567,5593182
2015-08-25,154.6405029296875,158.24497722111678,144.39854171426907,158.24497722111678,8259052
2015-08-26,149.58546447753906,155.60757074509348,148.79424490738458,153.8492931095557,3771580
2015-08-27,159.08016967773438,159.95930851365952,149.45360210727296,153.1459825352397,5911847
2015-08-28,153.8492889404297,163.3000309753418,151.6514419555664,163.16816552208735,5063713
2015-08-31,156.00318908691406,160.26701795280084,152.35476815889552,152.79433759189027,5371635
2015-09-01,147.47552490234375,155.08006970285703,145.14581258716018,153.7613615815246,4170884
2015-09-02,139.29953002929688,150.24480460902956,138.1127007845119,149.45358511250623,6576040
2015-09-03,142.06883239746094,145.40954903410426,138.8160081755821,140.6622049818056,5272787
2015-09-04,137.89292907714844,140.5303455332143,133.5411811929647,140.5303455332143,5725048
2015-09-07,134.90383911132812,141.45342014536712,134.2444850458626,137.804999682295,3609269
2015-09-08,140.17869567871094,142.72820655122922,133.71703277759042,135.38739133076834,4940496
2015-09-09,150.24481201171875,151.78330487544446,140.66220468349306,143.29962102130855,7924562
2015-09-10,146.72825622558594,148.92610316374387,143.51940506171263,145.62933275650698,4380357
2015-09-11,145.9810028076172,150.46460271210373,144.6622945860752,149.36567919415205,4028441
2015-09-14,151.6514434814453,152.35475720659682,145.4974718619084,146.3766106646994,4486032
2015-09-15,148.574462890625,153.36576685122043,148.3107185576045,151.25583901624444,3523038
2015-09-16,150.9041748046875,152.70641208911854,148.97007206159316,151.91519250795074,2859819
2015-09-18,156.48670959472656,159.91534561888588,152.70640999463183,153.36576410809275,5994851
2015-09-21,159.38787841796875,160.22305765423516,152.44267335703947,153.84930090255776,4093643
2015-09-22,152.22286987304688,162.37692516358376,151.43165036036828,160.61864765577104,4676363
2015-09-23,157.8933563232422,158.81644146297606,148.66239760914004,149.4096576467625,5501292
2015-09-24,157.40982055664062,160.3549277822594,156.13507185214326,156.97025111270395,3552639
2015-09-28,157.45376586914062,161.05822693296705,156.6185732699161,157.49771207786307,2730926
2015-09-29,158.33290100097656,162.86046039094694,151.7393600944605,155.95921554295612,8619785
2015-09-30,154.0251007080078,160.88238539120724,152.79431186866609,160.0032466732225,4789495
2015-10-01,152.83828735351562,157.10210252960982,151.87122929750592,156.39878879929307,2874163
2015-10-05,160.35491943359375,160.7944888546448,154.55261112447607,154.6405169599298,4124001
2015-10-06,162.68463134765625,163.73959518404425,156.97022936807886,160.88239419425554,3950492
2015-10-07,162.64068603515625,165.40996802613338,160.97032759847067,161.76154719172297,4096425
2015-10-08,162.7725372314453,165.71765746469214,160.4428248663465,161.14613856237787,3642571
2015-10-09,159.8274383544922,165.8055849459186,158.94829954441752,164.22313240486548,3531409
2015-10-12,160.22305297851562,162.15715573621537,156.53067254752625,159.21204868221173,2652316
2015-10-13,158.2889404296875,161.32196654558226,156.92627263425848,160.3549085192537,2039011
2015-10-14,154.33282470703125,159.73952316032376,153.84929566630407,158.6845592443879,2469507
2015-10-15,156.6185760498047,157.32188979156442,155.1680023567828,155.6075717685584,2095650
2015-10-16,154.3767852783203,157.5416770455373,152.1789381838943,157.5416770455373,3329171
2015-10-19,152.79432678222656,155.78339334928697,151.5195781996447,154.7284294676535,2104359
2015-10-20,153.0141143798828,155.60757121725158,152.31080064061487,153.84929357637867,1998788
2015-10-21,149.45361328125,153.84930778952207,147.78325473394463,153.36577871069312,2677415
2015-10-23,148.53050231933594,152.1789365045786,147.73928273991143,152.0910172559341,2106024
2015-10-26,144.5303955078125,150.2447970022086,143.87104148922833,149.80522765648584,2636019
2015-10-27,146.5524444580078,147.56346219010015,143.16776791472742,143.73920280468812,2120921
2015-10-28,143.958984375,148.48654401393335,142.46445103692645,145.9370467557252,3493344
2015-10-29,140.2666015625,145.49747486412218,139.7391129041037,144.1787666327253,5247526
2015-10-30,137.67315673828125,142.42050141976887,136.96984293723995,141.54136252211597,4294535
2015-11-02,140.2666015625,143.12380273052656,135.2115533421453,137.05773681734462,6213395
2015-11-03,139.343505859375,142.33257254351764,138.94789606509053,141.6732184148455,4196013
2015-11-04,143.91502380371094,144.92604150707712,140.53034735659972,140.66221281527646,4578195
2015-11-05,142.3765411376953,144.88209235033014,140.75014223326835,143.8271283609136,2157744
2015-11-06,143.21170043945312,145.67329168133315,137.36543297775702,143.29961968239613,7428454
2015-11-09,143.56336975097656,144.96998379229322,139.56328549941324,139.7830702009871,3852261
2015-11-10,141.145751953125,147.43158967219497,140.39847852824204,142.68424501586472,3483037
2015-11-13,141.27761840820312,142.94799036531816,139.7830849625913,141.23365878032735,2151940
2015-11-16,145.71725463867188,146.37660873205954,140.7940720422067,141.1017759849583,2630636
2015-11-17,145.2337188720703,147.21178106031925,144.35458012173746,146.81617130558803,2723806
2015-11-18,140.66221618652344,146.11287438083238,139.78307733535766,145.4974798679352,2379686
2015-11-19,141.8050994873047,142.86006342661312,140.66221629697293,141.84905911281635,1773773
2015-11-20,142.3765411376953,143.8271283609136,140.04682843545902,142.24467566949133,2671476
2015-11-23,141.10177612304688,143.12379802766654,140.70616634954578,142.42048431111274,1603276
2015-11-24,139.6072540283203,142.50841495708192,138.8160210034247,141.01386815936615,1945574
2015-11-26,140.66221618652344,141.49739541221206,139.3435079097748,140.66221618652344,1487377
2015-11-27,147.9151153564453,148.35468479286862,140.92596400023353,141.54135852830726,4484272
2015-11-30,152.310791015625,152.75036039806545,147.73927212116263,148.00301643354553,3460862
2015-12-01,151.73934936523438,152.97013821491976,150.55250672014373,152.44264961385895,2277078
2015-12-02,149.84921264648438,152.70641387746448,148.61842363589983,151.29979978173844,2304507
2015-12-03,148.3546905517578,151.60750182464028,147.78325562806316,149.01404473198784,1802261
2015-12-04,145.49746704101562,148.0030179117888,144.6622878889556,147.69531397516994,1753415
2015-12-07,145.3216552734375,147.16783881838984,143.56337756514324,146.59640392903194,1346318
2015-12-08,141.18971252441406,146.20080156505597,140.2666139976812,144.61834886417037,1636408
2015-12-09,137.93687438964844,142.9479763552703,137.32147990348597,140.88199477894594,2906857
2015-12-10,131.91477966308594,139.34349984242922,131.16750631702098,138.81601119643122,4338485
2015-12-11,128.35427856445312,135.16760499510045,127.47513967017603,131.91479376919426,3999186
2015-12-14,127.2553482055664,130.37629379784457,126.37620935785957,127.43117329218893,2626321
2015-12-15,128.222412109375,129.01363174229732,125.80478016871866,127.91470813290807,2686747
2015-12-16,128.8817596435547,131.16751258471677,128.17844588681476,129.36527527513138,2492783
